date,rainfall
2020-07-14,2.2
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,0.1
2020-07-18,0.5
2020-07-19,0.4
2020-07-20,0.0
2020-07-21,0.0
2020-07-22,0.0
2020-07-23,1.5
2020-07-24,7.6
2020-07-25,31.5
2020-07-26,36.8
2020-07-27,0.0
2020-07-28,0.0
2020-07-29,0.0
2020-07-30,0.0
2020-07-31,0.9
2020-08-01,8.8
2020-08-02,0.0
2020-08-03,0.0
2020-08-04,13.0
2020-08-05,59.0
2020-08-06,11.4
2020-08-07,8.3
2020-08-08,1.6
2020-08-09,2.9
2020-08-10,1.3
2020-08-11,29.1
2020-08-12,0.9
2020-08-13,7.5
2020-08-14,18.5
2020-08-15,21.3
2020-08-16,18.9
2020-08-17,7.6
2020-08-18,2.7
2020-08-19,2.5
2020-08-20,1.5
2020-08-21,14.6
2020-08-22,2.6
2020-08-23,1.0
2020-08-24,0.7
2020-08-25,3.1
2020-08-26,0.0
2020-08-27,0.9
2020-08-28,0.3
2020-08-29,4.9
2020-08-30,8.1
2020-08-31,2.7
2020-09-01,0.3
2020-09-02,0.2
2020-09-03,0.0
2020-09-04,0.0
2020-09-05,0.0
2020-09-06,23.1
2020-09-07,20.7
2020-09-08,0.3
2020-09-09,1.2
2020-09-10,39.0
2020-09-11,2.7
2020-09-12,38.2
2020-09-13,5.8
2020-09-14,0.4
2020-09-15,0.0
2020-09-16,0.0
2020-09-17,0.7
2020-09-18,0.0
2020-09-19,0.0
2020-09-20,14.1
2020-09-21,10.9
2020-09-22,26.3
2020-09-23,0.0
2020-09-24,0.3
2020-09-25,3.5
2020-09-26,10.3
2020-09-27,0.0
2020-09-28,0.0
2020-09-29,0.0
2020-09-30,0.0
2020-10-01,0.0
2020-10-02,0.0
2020-10-03,0.0
2020-10-04,0.8
2020-10-05,0.0
2020-10-06,0.2
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,0.0
2020-10-10,0.0
2020-10-11,23.6
